Latitude,Longitude
55.68380104737004,12.585175041013349
55.69613675073852,12.572983571711115
55.68371685486106,12.585103881809532
55.68374146804126,12.585124417730745
55.68377024435986,12.585148023460608
55.69617958998788,12.573056330062611
55.69606119769052,12.572865873057907
55.69609844642457,12.572921984835675
55.70185577361202,12.580251089998747
55.701918671956555,12.58023317793396
55.70198127074208,12.58021165212643
55.70204497699449,12.580193813899072
55.65364745021692,12.540311663917153
55.69165365984598,12.577676650727721
55.691695655207454,12.577726322041832
55.692352064189386,12.561172829714215
55.692250189891766,12.561160613650163
55.698616827440475,12.540227723800932
55.68702408346074,12.562313277191697
55.68693465170505,12.562210091184687
55.692581392456894,12.540827160819907
55.68686075371264,12.567655253134275
55.66537218380984,12.557567470643239
55.665357856556106,12.557644848211266
55.64987839179356,12.530140594350673
55.649867314783265,12.53025093718982
55.68312887126555,12.563687223394432
55.68315269298166,12.563607795407318
55.666105530125456,12.55543074598706
55.67637674327139,12.561984006579376
55.64760666389447,12.52630564309761
55.66494340115158,12.599451459743888
55.66496309599651,12.599515346298215
55.67906348898651,12.573054534493345
55.67907827840602,12.573121211720052
55.679094633371825,12.573192976626617
55.6791111491119,12.573259223027174
55.67912894425247,12.573324479616886
55.69173702634684,12.577776989991087
55.67321435687856,12.592898567198864
55.673182201215695,12.59295935656069
55.681866831179754,12.591321053027778
55.68190382155045,12.591351600837719
55.69470635500662,12.552231825133966
55.694728623554816,12.552327925642832
55.693211857027535,12.587051051570098
55.69325286678394,12.587002181164202
55.68870575795846,12.597295962114167
55.688748759436564,12.597333293472182
55.699132713610595,12.586166468489829
55.69908730777065,12.586200623389912
55.69904126769314,12.58623468204548
55.68692864768825,12.582210270567744
55.686979986092254,12.582255433999881
55.68703098052178,12.582298398334
55.6627685997119,12.517635312437294
55.66281964687341,12.517678105633507
55.66287503339587,12.517722396132353
55.66876889434979,12.554146551972691
55.66871162336772,12.554169684995426
55.6753989960389,12.583200559193045
55.675370513082605,12.583325004289524
55.67086093877322,12.569197495229497
55.670829077672344,12.569149593539361
55.6879267758715,12.58930034596463
55.676070770812245,12.5590363530588
55.67614349718307,12.569549991671378
55.67620181443079,12.569435072711652
55.68060649315137,12.568159673527406
55.680564937862705,12.568107047406702
